,time,nodes,rep_size,replication
0,22.689078166007995,16.0,2.0,8.0
1,34.65774395608902,32.0,4.0,8.0
2,64.84873771071435,64.0,8.0,8.0
3,124.47941518950462,128.0,16.0,8.0
4,17.312982816489008,16.0,1.0,10.0
5,31.95476306566811,32.0,3.0,10.0
6,57.47429369326429,64.0,6.0,10.0
7,109.37301290525403,128.0,12.0,10.0
8,17.162158787944133,16.0,1.0,16.0
9,25.13797047657963,32.0,2.0,16.0
10,40.59032086626886,64.0,4.0,16.0
11,69.42107221819431,128.0,8.0,16.0
